County,Median_Household_Income,Bachelors_Degree_Pct,Unemployment_Rate,No_Health_Insurance_Pct,Median_Gross_Rent,Broadband_Pct,High_School_Grad_Pct,Upward_Mobility,Gini_Index,No_Vehicle_Pct,UOI_ALL,Voter_Turnout,fips
LIMESTONE,49507,15.7,4.3,18.7,715,68.2,84.4988344988345,32.26202879965804,0.4401,4.3602840413604085,-0.1066397427282169,62.8,293
LIPSCOMB,66250,25.5,5.9,18.7,773,83.3,85.87243015287295,10.117514086731047,0.4369,3.6713286713286712,0.1813814675563113,69.14,295
LIVE OAK,52870,12.8,3.6,15.0,795,66.7,76.68438620348621,4.195817977572378,0.4545,4.122374902774177,-0.3108537396235429,65.11,297
LLANO,62839,30.8,4.2,15.9,896,86.2,89.14054118488497,29.399530497096492,0.528,3.1127982646420826,0.3340248289499822,73.95,299
LUBBOCK,56529,32.1,4.4,13.4,989,84.4,87.87183228676514,20.636377216756653,0.4847,5.753807790807387,0.26060059481732073,61.95,303
LYNN,49747,23.1,3.3,14.6,884,83.5,79.0460435621726,22.162467462305386,0.4641,4.752851711026616,0.10120459865466902,58.49,305
MCCULLOCH,46552,14.0,7.7,19.7,802,87.7,80.49990810512773,14.142801098469986,0.4267,6.21414913957935,-0.2521270728693564,65.04,307
MCLENNAN,53723,26.3,4.7,14.0,948,84.4,86.39966969446738,21.41888532296705,0.4765,5.6224387965263185,0.1576306157206079,61.9,309
MCMULLEN,63056,15.4,3.4,24.1,975,72.6,89.81288981288981,9.493132369028807,0.4969,4.838709677419355,-0.259162055383647,76.09,311
MADISON,59923,11.8,7.3,15.5,744,76.6,78.28131680205216,38.68175611562406,0.4153,6.649937264742785,-0.09180063478891912,64.61,313
MARION,43153,15.3,11.7,12.2,782,73.6,87.009148486981,21.81854110207769,0.4896,6.268582755203171,-0.46121042036936216,60.16,315
MARTIN,69194,21.0,5.7,10.5,640,73.6,80.74675324675324,8.12914114264283,0.4632,0.0,0.2169877302806989,59.14,317
MASON,73186,34.9,3.5,12.6,717,81.1,82.37885462555066,90.11325852036576,0.4535,3.557046979865772,0.9198112988901421,77.21,319
MATAGORDA,48566,19.8,6.3,18.4,901,70.2,81.38070042831947,17.72719559789591,0.4722,6.3568610258658484,-0.3841861459646897,59.35,321
MAVERICK,44502,16.0,7.0,28.7,715,68.4,63.553413362434824,19.773920064594268,0.4558,6.579988694177502,-0.8906514835167891,44.98,323
MEDINA,67180,22.6,3.0,13.9,937,83.6,85.82247270165551,15.16637237927074,0.4412,4.378168804056069,0.35671772172345495,63.81,325
MENARD,40341,27.2,8.6,26.7,616,68.4,82.08856576338401,6.392910831553129,0.4879,2.6548672566371683,-0.5831498353845596,66.69,327
MIDLAND,88210,28.8,3.3,16.2,1278,87.9,84.51661340622955,23.5019041218638,0.4629,4.021667244039933,0.5717885190017692,59.74,329
MILAM,52810,16.2,6.3,15.0,796,75.6,86.0659627476569,34.67472521867748,0.4724,4.907597535934292,-0.051613137721594406,64.3,331
MILLS,53483,24.7,2.4,16.4,651,80.4,85.32191376255169,20.52507042253521,0.4641,1.0029498525073746,0.3189616414122654,75.43,333
MITCHELL,50144,9.9,2.0,17.4,707,74.5,82.24807656220679,-2.736882940548928,0.454,2.7900797165633304,-0.17962884383081623,55.32,335
MONTAGUE,59127,17.5,7.0,15.3,859,76.5,86.47913535180015,27.475583726796454,0.4202,3.8672622846202938,0.1168244816181456,70.71,337
MONTGOMERY,88597,36.4,4.6,14.7,1289,92.5,89.59810577592556,25.12816891462467,0.4702,3.261823000261282,0.7871893373709533,68.1,339
MOORE,55543,12.9,2.0,19.9,828,83.8,67.1077806122449,9.873002057287545,0.3872,7.8485419991295515,-0.188651644739721,52.97,341
MORRIS,46468,12.9,5.7,11.5,728,80.9,89.93427458617332,22.60039048071342,0.4109,5.915551839464883,0.10621470824615338,60.59,343
MOTLEY,59286,21.6,3.6,19.3,665,69.4,86.58669574700109,67.31860130386927,0.4243,3.056768558951965,0.379371578369694,76.68,345
NACOGDOCHES,47306,24.7,7.4,16.6,812,83.0,85.32897534013605,21.562379545162532,0.5237,6.22440961164647,-0.2300122656119056,63.2,347
NAVARRO,50466,16.6,5.1,19.6,864,80.7,80.17838561022744,16.313266340923757,0.4505,5.078968299056926,-0.180310114828877,57.74,349
NEWTON,38116,8.3,10.4,21.6,737,79.4,82.07021929326213,3.4945287680903636,0.4847,8.354483925549916,-0.8915312387278862,61.03,351
NOLAN,44700,16.3,8.0,17.6,803,75.5,82.32876712328768,16.372914009007836,0.4955,7.894736842105263,-0.550596565456974,60.3,353
NUECES,59477,21.9,6.0,18.4,1094,85.5,84.10702173527976,14.638988473844494,0.4618,6.835842735569332,-0.06087722842120687,55.5,355
OCHILTREE,57413,18.8,1.9,21.8,901,83.1,76.65505226480836,14.800743836356,0.4082,2.940360610263523,0.1369260446429843,58.03,357
OLDHAM,68077,23.8,1.5,9.8,1000,84.1,87.43335872048743,30.186261760881205,0.4237,2.9320987654320985,0.7301391389636142,72.84,359
ORANGE,68756,16.8,5.4,16.6,882,88.7,88.95659197864718,33.654724646696344,0.4405,5.036558297427863,0.33107143335002454,64.64,361
PALO PINTO,59796,17.5,6.9,18.3,842,85.4,86.8619549493697,39.631982066131144,0.4395,4.921506308388713,0.15887202639061085,65.53,363
PANOLA,54853,13.5,2.8,19.3,744,81.9,82.67475221700573,8.165720145133301,0.4672,4.202296603957977,-0.10065956882924221,64.42,365
PARKER,88535,28.9,4.3,13.8,1122,89.9,89.66434167195075,30.23875020226835,0.4225,2.509101643215586,0.8669674598900634,71.15,367
